epoch,tr_loss,tr_auc,tr_ap,tr_f1,tr_acc,va_loss,va_auc,va_ap,va_f1,va_acc,lr
1,0.20101167615503074,0.519204701158437,0.49262445705429486,0.5521292217327459,0.5234375,0.22877838760614394,0.4098290598290598,0.618243495181534,0.0,0.2751677852348993,4e-05
2,0.18476007841527461,0.5484489522861995,0.5317925459365201,0.507910074937552,0.53828125,0.25379875004291536,0.39198717948717954,0.6096329445775398,0.0,0.30201342281879195,8e-05
3,0.18259636145085095,0.569999072229384,0.5446457339008217,0.5523349436392915,0.565625,0.18177273124456406,0.4108974358974359,0.6204590899585096,0.3624161073825503,0.3624161073825503,0.00012
4,0.17824801634997128,0.5618359587711437,0.5502925991372304,0.5392712550607287,0.55546875,0.22385511845350264,0.4008547008547009,0.612121603422229,0.0,0.2751677852348993,0.00016
5,0.17085893461480736,0.6212491230128755,0.6027812343143604,0.5388513513513513,0.5734375,0.20003825724124907,0.4074786324786325,0.6150183952012677,0.4268292682926829,0.3691275167785235,0.0002
6,0.16120521314442157,0.6981080916030534,0.6989989293498532,0.6497305619707467,0.64453125,0.18240509629249574,0.4058760683760684,0.6139008670894422,0.7555555555555555,0.6308724832214765,0.0001998450648729829
7,0.14667255291715264,0.7751779854681823,0.7650191419066548,0.7151898734177216,0.71875,0.24324533641338347,0.4083333333333333,0.6145802980779524,0.4268292682926829,0.3691275167785235,0.0001993807648581123
8,0.13914308920502663,0.7968583228920134,0.8090537541236014,0.7111853088480802,0.7296875,0.24043265283107756,0.4393162393162393,0.6421803062551026,0.6428571428571429,0.5302013422818792,0.00019860861440553084
9,0.13876789836212994,0.804103182209357,0.7992942185844178,0.7286559594251902,0.74921875,0.28980959206819534,0.4982905982905983,0.6961116291668136,0.3611111111111111,0.3825503355704698,0.0001975311321095217
10,0.1394923179410398,0.7942429636357865,0.8123899179180383,0.7179067865903516,0.73046875,0.21865859776735305,0.5210470085470086,0.713332618102245,0.6229508196721312,0.5369127516778524,0.00019615183249337728
11,0.1310684465803206,0.8260662037579592,0.8430404372464321,0.7260834014717906,0.73828125,0.2024747371673584,0.5737179487179487,0.7397781346961647,0.7164179104477612,0.6174496644295302,0.00019447521454575488
12,0.12413704702630639,0.8498641354104868,0.85776979859623,0.7599337748344371,0.7734375,0.20649845227599145,0.5701923076923077,0.7296506605881321,0.7378640776699029,0.6375838926174496,0.00019250674704591076
13,0.12607822134159505,0.8377528078892452,0.8670130438122384,0.7638668779714739,0.7671875,0.2610506422817707,0.5627136752136752,0.7306075296125665,0.7792207792207793,0.6577181208053692,0.00019025285072567905
14,0.12969704130664467,0.8328412446059503,0.850269540641933,0.7378486055776893,0.74296875,0.22879845649003983,0.589957264957265,0.7399972091502678,0.6629834254143646,0.5906040268456376,0.00018772087732637883
15,0.11777021549642086,0.8664969637490033,0.8877221219297722,0.8027210884353742,0.79609375,0.22292730510234832,0.5881410256410257,0.7431913098730141,0.7671232876712328,0.6577181208053692,0.00018491908561896222
16,0.1265243461355567,0.8435200808753684,0.8631858551093922,0.7737341772151899,0.7765625,0.22477900236845016,0.6074786324786324,0.7536277828055016,0.6984126984126984,0.6174496644295302,0.00018185661446562
17,0.11942708292044699,0.8645441428156381,0.8711325504680946,0.782464846980976,0.79453125,0.22786315083503722,0.6103632478632478,0.7567043172481155,0.5964912280701754,0.5369127516778524,0.00017854345301071285
18,0.11311583388596773,0.8726512754404467,0.8928782626382383,0.7957166392092258,0.80625,0.23154690414667128,0.6136752136752137,0.7595809651352989,0.7437185929648241,0.6577181208053692,0.00017499040809825845
19,0.10471543283201754,0.8907817470026915,0.9136930402639688,0.8149882903981265,0.81484375,0.2406141698360443,0.6147435897435898,0.7502447153855007,0.7524752475247525,0.6644295302013423,0.0001712090690222529
20,0.11167118027806282,0.883411882965532,0.8796262301530866,0.8047740835464621,0.82109375,0.2566920891404152,0.611965811965812,0.7552912658706368,0.5766871165644172,0.5369127516778524,0.0001672117697248021
21,0.10780767067335546,0.8861295932624009,0.90136978582482,0.8117647058823529,0.825,0.2567495793104172,0.6182692307692308,0.7618838539535224,0.5408805031446541,0.5100671140939598,0.00016301154856536665
22,0.10879198033362628,0.8835444521491147,0.8963789746478887,0.811522633744856,0.82109375,0.22131888419389725,0.6147435897435897,0.7498359305454914,0.651685393258427,0.5838926174496645,0.00015862210579234312
23,0.10782461077906191,0.8933862595419848,0.8906286065444446,0.8070469798657718,0.8203125,0.2563860327005386,0.6175213675213675,0.7516050027822612,0.5644171779141104,0.5234899328859061,0.0001540577588557014
24,0.1028742135502398,0.8971579520457814,0.9134950044109509,0.8218954248366013,0.8296875,0.2944610372185707,0.6133547008547009,0.7580908885719042,0.5283018867924528,0.4966442953020134,0.000149333395706439
25,0.11365096769295632,0.8809682507129184,0.8838797298469345,0.800982800982801,0.81015625,0.21646277457475663,0.614957264957265,0.7585333601672153,0.717948717948718,0.6308724832214765,0.00014446442623517925
26,0.102543300925754,0.9013428450505065,0.8960231342763311,0.8229166666666666,0.840625,0.23892300426959992,0.6200854700854701,0.7606792621442084,0.6235294117647059,0.5704697986577181,0.00013946673200831088
27,0.10271051235031337,0.8962986022096076,0.9123485244377626,0.8192371475953566,0.8296875,0.27370922863483427,0.62008547008547,0.7601258185092155,0.5128205128205128,0.4899328859060403,0.00013435661446562
28,0.09936410416848958,0.8999022482893451,0.915504539552374,0.8170212765957446,0.83203125,0.25683834254741666,0.6106837606837607,0.7539336061916937,0.55,0.5167785234899329,0.0001291507417483813
29,0.10919321882538498,0.8800561557712263,0.898791401040795,0.8216666666666667,0.8328125,0.2535425782203674,0.6014957264957265,0.7509211970362646,0.5222929936305732,0.4966442953020134,0.0001238660943313458
30,0.09868715517222881,0.9032832722832723,0.917499882072385,0.8219409282700422,0.83515625,0.26047491282224655,0.6159188034188035,0.7635083799783502,0.7309644670050761,0.6442953020134228,0.00011851990963596212
31,0.100790147902444,0.9062600756221239,0.9183251652636036,0.8355416991426344,0.83515625,0.28012174367904663,0.6254273504273504,0.7704989859021674,0.48366013071895425,0.4697986577181208,0.00011312962580548978
32,0.10335391471162439,0.8920630580261774,0.9140142513940608,0.8215767634854771,0.83203125,0.29205766767263414,0.620940170940171,0.7682744264597197,0.4489795918367347,0.4563758389261745,0.00010771282482540115
33,0.10727425497025252,0.8911039162399799,0.895944404597061,0.802675585284281,0.815625,0.2391534075140953,0.6146367521367522,0.7663387466522746,0.5064935064935064,0.4899328859060403,0.00010228717517459887
34,0.09629073664546013,0.9099036282286742,0.911148146590198,0.8432523051131601,0.85390625,0.2306211844086647,0.6076923076923078,0.7607171136109665,0.7317073170731707,0.6308724832214765,9.687037419451024e-05
35,0.0984638758469373,0.8996642852256179,0.9164204340215407,0.8310580204778157,0.8453125,0.22438849210739137,0.6173076923076923,0.7698145757959292,0.7076923076923077,0.6174496644295302,9.148009036403792e-05
36,0.09343738961033524,0.9100006106870229,0.9243308442915621,0.8418367346938775,0.8546875,0.2416836366057396,0.630448717948718,0.7792916530553701,0.6071428571428571,0.5570469798657718,8.61339056686542e-05
37,0.09612851603887976,0.9130480008615287,0.9280212796356616,0.8436532507739938,0.8421875,0.24491672664880754,0.6278846153846154,0.7727013814338753,0.6703910614525139,0.6040268456375839,8.084925825161876e-05
38,0.08802998147439212,0.925806940038439,0.9376710209666324,0.8582930756843801,0.8625,0.2414759248495102,0.6159188034188035,0.7631726446979284,0.7244897959183674,0.6375838926174496,7.564338553438e-05
39,0.09709558719769121,0.9061623726197106,0.9189705898943078,0.8375209380234506,0.8484375,0.25066470801830293,0.6131410256410257,0.7626125569124544,0.6666666666666666,0.5906040268456376,7.053326799168911e-05
40,0.09955572145991028,0.910968253968254,0.9115894172293096,0.8323699421965318,0.84140625,0.2635158210992813,0.6160256410256411,0.7671396951224506,0.5903614457831325,0.5436241610738255,6.55355737648208e-05
41,0.08983973995782435,0.9185602360204759,0.9234365995472226,0.8653198653198653,0.875,0.25556196421384814,0.6107905982905982,0.7698346806825103,0.7219512195121951,0.6174496644295302,6.066660429356099e-05
42,0.0958668343257159,0.9093009566935577,0.9198848726010693,0.85,0.859375,0.28209341019392015,0.6131410256410257,0.76692607303781,0.535031847133758,0.5100671140939598,5.594224114429862e-05
43,0.08550346195697785,0.9229539134617027,0.9379602912260279,0.8559670781893004,0.86328125,0.25556660294532774,0.6101495726495727,0.7675507332972065,0.7272727272727273,0.6375838926174496,5.137789420765695e-05
44,0.09548580744303763,0.9117810173682116,0.9172647458744594,0.8369747899159664,0.8484375,0.24578903168439864,0.6167735042735043,0.7708484903459074,0.655367231638418,0.5906040268456376,4.698845143463337e-05
45,0.0850147612625733,0.9289471884646947,0.9380870188108033,0.8587943848059455,0.86640625,0.2651916280388832,0.6120726495726496,0.7697147182013881,0.7272727272727273,0.6375838926174496,4.278823027519793e-05
46,0.08770359579939395,0.9250850016120996,0.9402886729674285,0.8541329011345219,0.859375,0.26237127780914304,0.6053418803418804,0.7731836013393693,0.6910994764397905,0.6040268456375839,3.879093097774713e-05
47,0.0824030342977494,0.9286309151654879,0.9419126704948588,0.8727885425442291,0.88203125,0.28052360415458677,0.5997863247863248,0.7670030977471116,0.7164179104477612,0.6174496644295302,3.5009591901741524e-05
48,0.09326692405156792,0.9208934013127051,0.9296671349198473,0.8430717863105175,0.853125,0.24626946598291397,0.6060897435897435,0.7709311883280414,0.7192118226600985,0.6174496644295302,3.145654698928716e-05
49,0.08930251887068152,0.9231184806549475,0.939838928459949,0.8516746411483254,0.8546875,0.2383811205625534,0.6128205128205129,0.7703989314671327,0.6842105263157895,0.5973154362416108,2.8143385534380006e-05
50,0.08671408959198743,0.9285408894459224,0.9402936642299952,0.8495145631067961,0.8546875,0.24654029458761215,0.6127136752136753,0.7746052542042507,0.6910994764397905,0.6040268456375839,2.508091438103778e-05
51,0.08651081724092365,0.9268374891007276,0.9369531663710928,0.8660488626790227,0.87578125,0.25141206085681916,0.6077991452991454,0.770805728614411,0.6593406593406593,0.5838926174496645,2.2279122673621185e-05
